uid,monolayer1,monolayer2,C33_DFT
Nb1Se2-T1_Ta1Se2,Nb1Se2-T1,Ta1Se2,37.835
Mo1Te2_Mo1Te2,Mo1Te2,Mo1Te2,37.779
Nb1S2_W1Se2,Nb1S2,W1Se2,37.637
Hf1S2-T1_Ta1Te2,Hf1S2-T1,Ta1Te2,37.089
Nb1S2_Re1S2,Nb1S2,Re1S2,36.954
Ti1Se2_W1Te2,Ti1Se2,W1Te2,36.804
Nb1Se2_Nb1Se2,Nb1Se2,Nb1Se2,36.741
Hf1S2_Mo1Te2-T1,Hf1S2,Mo1Te2-T1,36.541
Ta1Cl2_W1Cl2,Ta1Cl2,W1Cl2,36.056
Ta1Te2_W1Te2,Ta1Te2,W1Te2,36.054
Mo1Te2-T1_Mo1Te2-T1,Mo1Te2-T1,Mo1Te2-T1,36.037
Mo1Te2-T1_Ta1Se2,Mo1Te2-T1,Ta1Se2,35.94
Nb1S2_Ta1S2,Nb1S2,Ta1S2,35.87
Mo1Se2_Nb1S2-T1,Mo1Se2,Nb1S2-T1,35.8
Hf1Se2_Pt1Te2,Hf1Se2,Pt1Te2,35.666
Ga2S2_Ga2S2,Ga2S2,Ga2S2,35.316
Nb1S2_Nb1S2-T1,Nb1S2,Nb1S2-T1,35.134
Hf1Se2_Pt1Se2,Hf1Se2,Pt1Se2,34.961
Ta1S2_Ta1S2,Ta1S2,Ta1S2,34.844
In2Se2_In2Se2,In2Se2,In2Se2,34.471
Pd1Te2_W1Te2,Pd1Te2,W1Te2,34.332
Ga2Se2_Ga2Se2,Ga2Se2,Ga2Se2,34.315
Ga2Se2_In2S2,Ga2Se2,In2S2,34.11
Mo1Se2_Ta1S2,Mo1Se2,Ta1S2,34.0
In2S2_In2S2,In2S2,In2S2,33.86
In2S2_Si2,In2S2,Si2,33.811
Nb1Se2_Nb1Se2-T1,Nb1Se2,Nb1Se2-T1,33.59
Ta1S2_Zn1O1,Ta1S2,Zn1O1,33.522
Nb1Se2_Ta1Se2,Nb1Se2,Ta1Se2,33.505
W1S2_W1S2,W1S2,W1S2,33.418
Pd1S2_Ta1Se2,Pd1S2,Ta1Se2,33.376
Mo1Te2_Pd1Te2,Mo1Te2,Pd1Te2,33.316
Nb1Te2-T1_Ta1Se2,Nb1Te2-T1,Ta1Se2,33.071999999999996
Mo1Se2-T1_Ti1S2,Mo1Se2-T1,Ti1S2,33.051
Mo1Se2_Mo1Se2,Mo1Se2,Mo1Se2,32.731
Ga2S2_Mo1Te2,Ga2S2,Mo1Te2,32.717
Nb1Te2_Pd1Te2,Nb1Te2,Pd1Te2,32.7
Ti1S2_Zn1O1,Ti1S2,Zn1O1,32.546
Mo1S2_W1S2,Mo1S2,W1S2,32.400999999999996
Ga2S2_Ta1Te2,Ga2S2,Ta1Te2,32.251
Ta1Se2_Ta1Se2,Ta1Se2,Ta1Se2,32.243
Pt1Te2_Ti1Te2,Pt1Te2,Ti1Te2,32.104
Hf1S2_Pd1Te2,Hf1S2,Pd1Te2,32.086
Pd1Se2_Pd1Se2,Pd1Se2,Pd1Se2,32.063
Hf1S2-T1_Hf1Se2-T1,Hf1S2-T1,Hf1Se2-T1,32.049
Ta1S2_W1Se2,Ta1S2,W1Se2,31.975
Ni1Te2_Ti1Se2,Ni1Te2,Ti1Se2,31.693
Pt1Te2_Ta1Te2,Pt1Te2,Ta1Te2,31.676
Ga2S2_Pt1Te2,Ga2S2,Pt1Te2,31.581
Hf1S2_Nb1Te2,Hf1S2,Nb1Te2,31.578000000000003
Nb1Te2-T1_Ni1S2,Ni1S2,Nb1Te2-T1,31.531999999999996
Nb1Te2_Ta1Se2,Nb1Te2,Ta1Se2,31.351
W1Cl2_W1Cl2,W1Cl2,W1Cl2,31.315
Mo1S2_Mo1S2,Mo1S2,Mo1S2,31.272
Ga2S2_Hf1Se2,Ga2S2,Hf1Se2,31.213
Ga2Se2_Si2,Ga2Se2,Si2,31.171999999999997
Mo1Se2_Ti1S2,Mo1Se2,Ti1S2,31.131
Hf1S2_W1Te2,Hf1S2,W1Te2,31.090999999999998
Pd1Se2_Ta1Se2,Pd1Se2,Ta1Se2,31.070999999999998
Mo1Te2_Ta1Te2,Mo1Te2,Ta1Te2,30.866
Ta1Cl2_Ta1Cl2,Ta1Cl2,Ta1Cl2,30.74
Mo1Se2_W1Se2,Mo1Se2,W1Se2,30.669
Mo1Te2-T1_Nb1Te2,Nb1Te2,Mo1Te2-T1,30.624000000000002
Hf1S2_Pd1S2,Hf1S2,Pd1S2,30.599
Mo1Te2_Nb1Te2,Mo1Te2,Nb1Te2,30.548000000000002
Hf1S2_Mo1Te2,Hf1S2,Mo1Te2,30.516
Hf1Se2_Ta1Te2,Hf1Se2,Ta1Te2,30.33
W1Se2_W1Se2,W1Se2,W1Se2,29.848000000000003
Nb1S2-T1_Pt1S2,Pt1S2,Nb1S2-T1,29.647
Nb1S2_Nb1S2,Nb1S2,Nb1S2,29.48
Pt1S2_Pt1S2,Pt1S2,Pt1S2,28.588
Mo1Se2_Zn1O1,Mo1Se2,Zn1O1,28.541999999999998
Hf1Se2-T1_Ti1Te2,Hf1Se2-T1,Ti1Te2,28.504
Nb1Se2_Pt1S2,Nb1Se2,Pt1S2,28.186
Mo1Se2_Mo1Se2-T1,Mo1Se2,Mo1Se2-T1,28.178
Re1S2_W1Se2,Re1S2,W1Se2,28.154
Hf1S2-T1_Pt1Se2,Pt1Se2,Hf1S2-T1,28.023000000000003
Mo1Te2_Ni1Te2,Mo1Te2,Ni1Te2,28.016
Hf1Se2-T1_Hf1Se2-T1,Hf1Se2-T1,Hf1Se2-T1,28.006
Ta1Cl2_W1S2,Ta1Cl2,W1S2,27.826
Re1S2-T1_Ta1Cl2,Re1S2-T1,Ta1Cl2,27.81
Nb1Te2-T1_Nb1Te2-T1,Nb1Te2-T1,Nb1Te2-T1,27.764
Pd1Se2_Ta1S2,Pd1Se2,Ta1S2,27.558000000000003
Nb1Se2_Ti1Se2,Nb1Se2,Ti1Se2,27.465
W1S2_W1S2-T1,W1S2-T1,W1S2,26.85
W1S2-T1_W1S2-T1,W1S2-T1,W1S2-T1,26.523000000000003
Ti1S2_W1Se2,Ti1S2,W1Se2,26.476
Nb1Te2-T1_W1Te2,Nb1Te2-T1,W1Te2,26.035
Re1S2-T1_Re1Se2,Re1Se2,Re1S2-T1,25.912
Mo1S2-T1_W1Cl2,Mo1S2-T1,W1Cl2,25.820999999999998
Pt1Se2_W1Te2,Pt1Se2,W1Te2,25.764
Mo1Se2_Ni1Se2,Mo1Se2,Ni1Se2,25.575
Mo1Te2_Pt1Se2,Mo1Te2,Pt1Se2,25.281999999999996
