uid,monolayer1,monolayer2,IE_DFT
Mo1Se2_W1Se2,Mo1Se2,W1Se2,-0.325020241
Mo1Se2_Zn1O1,Mo1Se2,Zn1O1,-0.405182184
Mo1Te2_Nb1Te2,Mo1Te2,Nb1Te2,-0.301700403
Mo1Te2_Ni1S2,Mo1Te2,Ni1S2,-0.38477732600000003
Mo1Te2_Ni1Te2,Mo1Te2,Ni1Te2,-0.33959514
Mo1Te2_Pd1Te2,Mo1Te2,Pd1Te2,-0.303157893
Mo1Te2_Pt1Se2,Mo1Te2,Pt1Se2,-0.19238866300000002
Hf1S2-T1_Mo1Te2,Mo1Te2,Hf1S2-T1,-0.373117407
Mo1Te2_Nb1Te2-T1,Mo1Te2,Nb1Te2-T1,-0.488259106
Mo1Te2_Ta1Te2,Mo1Te2,Ta1Te2,-0.206963562
Mo1Te2_W1Te2,Mo1Te2,W1Te2,-0.297327933
Nb1S2_Re4S8,Nb1S2,Re4S8,-0.378947366
Mo1Se2-T1_Nb1S2,Nb1S2,Mo1Se2-T1,-0.529068823
Nb1S2_Nb1S2-T1,Nb1S2,Nb1S2-T1,-0.43141700200000005
Nb1S2_Ta1S2,Nb1S2,Ta1S2,-0.291497974
Nb1S2_Ti1S2,Nb1S2,Ti1S2,-0.35562752799999997
Nb1S2_W1Se2,Nb1S2,W1Se2,-0.33813765
Nb1S2_Zn1O1,Nb1S2,Zn1O1,-0.419757083
Nb1Se2_Pd2Se4,Nb1Se2,Pd2Se4,-0.269635626
Nb1Se2_Pt1S2,Nb1Se2,Pt1S2,-0.279838055
Nb1Se2_Re1Te2,Nb1Se2,Re1Te2,-0.383319836
Mo1Te2-T1_Nb1Se2,Nb1Se2,Mo1Te2-T1,-0.55967611
Nb1Se2_Nb1Se2-T1,Nb1Se2,Nb1Se2-T1,-0.46056679899999997
Nb1Se2_Ta1Se2,Nb1Se2,Ta1Se2,-0.255060727
Nb1Se2_Ti1Se2,Nb1Se2,Ti1Se2,-0.288582994
Nb1Te2_Ni1Te2,Nb1Te2,Ni1Te2,-0.301700403
Nb1Te2_Pd2S4,Nb1Te2,Pd2S4,-0.288582994
Nb1Te2_Pd1Te2,Nb1Te2,Pd1Te2,-0.246315788
Mo1Te2-T1_Nb1Te2,Nb1Te2,Mo1Te2-T1,-0.45765181899999996
Nb1Te2_Nb1Te2-T1,Nb1Te2,Nb1Te2-T1,-0.42995951200000004
Nb1Te2_Ta1Se2,Nb1Te2,Ta1Se2,-0.243400808
Nb1Te2_Ti1Se2,Nb1Te2,Ti1Se2,-0.27400809600000003
Nb1Te2_W1Te2,Nb1Te2,W1Te2,-0.236113359
Ni1S2_Pd2S4,Ni1S2,Pd2S4,-0.5144939239999999
Mo1Te2-T1_Ni1S2,Ni1S2,Mo1Te2-T1,-0.48097165700000005
Nb1Te2-T1_Ni1S2,Ni1S2,Nb1Te2-T1,-0.47805667700000004
Ni1S2_Ta1Se2,Ni1S2,Ta1Se2,-0.47805667700000004
Ni1S2_W1Te2,Ni1S2,W1Te2,-0.352712549
Ni1Se2_Re4S8,Ni1Se2,Re4S8,-0.380404856
Mo1Se2-T1_Ni1Se2,Ni1Se2,Mo1Se2-T1,-0.502834005
Ni1Se2_W1S2-T1,Ni1Se2,W1S2-T1,-0.43578947100000004
Ni1Se2_Zn1O1,Ni1Se2,Zn1O1,-0.287125504
Ni1Te2_Pd2S4,Ni1Te2,Pd2S4,-0.470769228
Ni1Te2_Pd1Te2,Ni1Te2,Pd1Te2,-0.343967609
Mo1Te2-T1_Ni1Te2,Ni1Te2,Mo1Te2-T1,-0.47514169799999995
Nb1Te2-T1_Ni1Te2,Ni1Te2,Nb1Te2-T1,-0.513036434
Ni1Te2_Ta1Se2,Ni1Te2,Ta1Se2,-0.34105263
Ni1Te2_Ti1Se2,Ni1Te2,Ti1Se2,-0.44453441
Ni1Te2_W1Te2,Ni1Te2,W1Te2,-0.290040484
Pd1Te2_Pd2S4,Pd2S4,Pd1Te2,-0.33230769
Mo1Te2-T1_Pd2S4,Pd2S4,Mo1Te2-T1,-0.441619431
Nb1Te2-T1_Pd2S4,Pd2S4,Nb1Te2-T1,-0.32356275100000004
Pd2Se4_Re1Te2,Pd2Se4,Re1Te2,-0.33376518
Mo1Te2-T1_Pd2Se4,Pd2Se4,Mo1Te2-T1,-0.373117407
Nb1S2-T1_Pd2Se4,Pd2Se4,Nb1S2-T1,-0.390607285
Nb1Se2-T1_Pd2Se4,Pd2Se4,Nb1Se2-T1,-0.42704453200000003
Pd2Se4_Ta1S2,Pd2Se4,Ta1S2,-0.22591093
Pd2Se4_Ta1Se2,Pd2Se4,Ta1Se2,-0.166153845
Mo1Te2-T1_Pd1Te2,Pd1Te2,Mo1Te2-T1,-0.399352224
Nb1Te2-T1_Pd1Te2,Pd1Te2,Nb1Te2-T1,-0.41538461299999996
Pd1Te2_Ta1Se2,Pd1Te2,Ta1Se2,-0.256518217
Pd1Te2_Ti1Se2,Pd1Te2,Ti1Se2,-0.343967609
Pd1Te2_W1Te2,Pd1Te2,W1Te2,-0.246315788
Nb1S2-T1_Pt1S2,Pt1S2,Nb1S2-T1,-0.389149795
Nb1Se2-T1_Pt1S2,Pt1S2,Nb1Se2-T1,-0.41829959299999997
Pt1S2_Ta1Se2,Pt1S2,Ta1Se2,-0.171983805
Pt1Se2_Pt1Te2,Pt1Se2,Pt1Te2,-0.32356275100000004
Hf1S2-T1_Pt1Se2,Pt1Se2,Hf1S2-T1,-0.304615383
Pt1Se2_Ta1Te2,Pt1Se2,Ta1Te2,-0.23757084899999997
Pt1Se2_W1Te2,Pt1Se2,W1Te2,-0.202591092
Hf1S2-T1_Pt1Te2,Pt1Te2,Hf1S2-T1,-0.402267204
Hf1Se2-T1_Pt1Te2,Pt1Te2,Hf1Se2-T1,-0.371659917
Pt1Te2_Ta1Te2,Pt1Te2,Ta1Te2,-0.316275302
Pt1Te2_Ti1Te2,Pt1Te2,Ti1Te2,-0.265263156
Mo1Se2-T1_Re4S8,Re4S8,Mo1Se2-T1,-0.402267204
Nb1S2-T1_Re4S8,Re4S8,Nb1S2-T1,-0.454736839
Re4S8_Ta1S2,Re4S8,Ta1S2,-0.326477731
Re4S8_W1Se2,Re4S8,W1Se2,-0.262348177
Re4S8_Zn1O1,Re4S8,Zn1O1,-0.36291497799999994
Re4Se8_Si2,Re4Se8,Si2,-0.5144939239999999
Re4Se8_Si1C1,Re4Se8,Si1C1,-0.389149795
Re1S2-T1_Re4Se8,Re4Se8,Re1S2-T1,-0.545101211
Re4Se8_Ta1Cl2,Re4Se8,Ta1Cl2,-0.38623481600000004
Re4Se8_W1Cl2,Re4Se8,W1Cl2,-0.358542508
Mo1Te2-T1_Re1Te2,Re1Te2,Mo1Te2-T1,-0.47659918700000004
Nb1Se2-T1_Re1Te2,Re1Te2,Nb1Se2-T1,-0.543643722
Re1Te2_Ta1Se2,Re1Te2,Ta1Se2,-0.316275302
Re1Te2_Ti1Se2,Re1Te2,Ti1Se2,-0.381862346
Si1C1_Si2,Si2,Si1C1,-0.37020242700000006
Hf1Te2-T1_Si2,Si2,Hf1Te2-T1,-0.34688258899999996
Si2_Ta1Cl2,Si2,Ta1Cl2,-0.247773278
Hf1Te2-T1_Si1C1,Si1C1,Hf1Te2-T1,-0.33522267
Mo1S2-T1_Si1C1,Si1C1,Mo1S2-T1,-0.45182186
Re1S2-T1_Si1C1,Si1C1,Re1S2-T1,-0.43287449100000003
Si1C1_Ta1Cl2,Si1C1,Ta1Cl2,-0.411012143
Si1C1_W1Cl2,Si1C1,W1Cl2,-0.33959514
Si1C1_W1S2,Si1C1,W1S2,-0.358542508
Hf1S2-T1_Hf1Se2-T1,Hf1S2-T1,Hf1Se2-T1,-0.310445342
Hf1S2-T1_Ta1Te2,Hf1S2-T1,Ta1Te2,-0.402267204
Hf1S2-T1_W1Te2,Hf1S2-T1,W1Te2,-0.41684210299999996
Hf1Se2-T1_Ta1Te2,Hf1Se2-T1,Ta1Te2,-0.441619431
Hf1Se2-T1_Ti1Te2,Hf1Se2-T1,Ti1Te2,-0.351255059
Hf1Te2-T1_Mo1S2-T1,Hf1Te2-T1,Mo1S2-T1,-0.67773279
Hf1Te2-T1_W1S2-T1,Hf1Te2-T1,W1S2-T1,-0.6966801579999999
Hf1Te2-T1_Ta1Cl2,Hf1Te2-T1,Ta1Cl2,-0.320647771
Hf1Te2-T1_W1Cl2,Hf1Te2-T1,W1Cl2,-0.317732792
Hf1Te2-T1_W1S2,Hf1Te2-T1,W1S2,-0.327935221
Mo1S2-T1_Re1S2-T1,Mo1S2-T1,Re1S2-T1,-0.44453441
Mo1S2-T1_Ta1Cl2,Mo1S2-T1,Ta1Cl2,-0.485344127
Mo1S2-T1_W1Cl2,Mo1S2-T1,W1Cl2,-0.437246961
Mo1Se2-T1_Ta1S2,Mo1Se2-T1,Ta1S2,-0.472226718
Mo1Se2-T1_Ti1S2,Mo1Se2-T1,Ti1S2,-0.536356272
Mo1Se2-T1_W1Se2,Mo1Se2-T1,W1Se2,-0.380404856
Mo1Se2-T1_Zn1O1,Mo1Se2-T1,Zn1O1,-0.396437245
Mo1Te2-T1_Nb1Se2-T1,Mo1Te2-T1,Nb1Se2-T1,-0.47951416700000005
Mo1Te2-T1_Nb1Te2-T1,Mo1Te2-T1,Nb1Te2-T1,-0.271093116
Mo1Te2-T1_Ta1Se2,Mo1Te2-T1,Ta1Se2,-0.489716596
