Monolayer,Atom_HardnessRB_StDiv,Atom_Inv_Diff_ENARrev_ENGordyRev_Range,Atom_Inv_Diff_ENGordyRev_EA_StDiv,Atom_Inv_Diff_ENGordyRev_IP5_StDiv,Atom_Inv_Diff_ENGordyRev_IP6_StDiv,Atom_Inv_Diff_IP7_IP8_StDiv,Atom_Inv_Mult_EA_ThermalExpansion_Range,Atom_Inv_Mult_IP2_LatticeConstant_Min,Atom_Inv_Mult_SpeedSound_Zeff_Median,Atom_Log_Mult_ENGordyRev_IP6_Range,Atom_Log_Mult_IP7_Period_Range,Atom_Log_Mult_SpeedSound_RadiiCordero08_Median,Atom_Log_Ratio_IP2_IP3_StDiv,Atom_Log_Ratio_IP6_IP7_Max,Atom_Log_Ratio_PoissonRatio_Ntotal_Range,Atom_Mult_EA_dHAtom_Max,Atom_Mult_EA_dHAtom_StDiv,Atom_Mult_EA_dHFus_StDiv,Atom_Mult_IP8_SpeedSound_Min,Atom_Mult_IP8_SpeedSound_StDiv,Atom_Mult_LatticeConstant_Density_StDiv,Atom_Mult_LatticeConstant_RadiiBatsanov_Min,Atom_Mult_ThermalCond_YoungsModule_StDiv,Atom_Ratio_Density_TDebye0_Min,Atom_Ratio_EA_ThermalExpansion_Min,Atom_Ratio_ENARrev_YoungsModule_Min,Atom_Ratio_dHFus_SpeedSound_StDiv,CrystSyst_hexagonal,CrystSyst_trigonal,EState_Dist_Hf_EA,EState_Dist_Ti_ENARrev,EState_Topo_Ni_Zeff,EState_Topo_Pd_Zeff,EState_Topo_Te_dHAtom,Moment_N_f_2,Moment_SpeedSound_1,Moment_TCritical_1,Moment_TCurie_1,Moment_TCurie_3,Moment_ThermalExpansion_1,SG164,SG187,
Cr2Ag2P4S12,0.03294,0.00924,0.10615999999999999,0.029460000000000004,0.1712,0.12711,0.00797,0.21486999999999998,0.03627,0.15829000000000001,0.06356,0.9055799999999999,0.03229,-0.10654000000000001,0.008870000000000001,0.48265,0.12667,0.032189999999999996,0.23539000000000002,0.26787,0.08113,0.27107,0.05975,0.06298,0.12915,0.0033799999999999998,0.01677,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-11.521939999999999,0.0,0.0,0.0,-11.521939999999999,0,0,
Zn2H4Se2O8,0.051620000000000006,0.11127000000000001,0.10255999999999998,0.10217000000000001,0.11383,0.1312,0.0,0.18213,0.27663000000000004,0.1272,0.13903,0.59322,0.06249,-0.12858,0.00224,0.38201,0.11965999999999999,0.02377,0.19471,0.12165999999999999,0.07385,0.18939,0.07906,0.0030800000000000003,0.0,0.017490000000000002,0.02252,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.74668,2.47145,0.0,0.0,2.7678,0,0,
Y2I6,0.00359,0.0043,0.021730000000000003,0.14195,0.07968,0.2238,0.0,0.36727,0.0307,0.04237,0.03121,0.9162299999999999,0.01679,-0.09766,0.0,0.27260999999999996,0.07099,0.05935,0.29448,0.0,0.09851,0.4022,0.0,0.0958,0.054189999999999995,0.00715,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.8781400000000001,1.8781400000000001,0.0,0.0,1.8781400000000001,0,0,
Pb2I2F2,0.11622,0.5335300000000001,0.16236,0.20734,0.18921,0.24633000000000002,0.0,0.19345,0.16034,0.16919,0.06623,0.78174,0.0609,-0.09766,0.0,0.27260999999999996,0.09134,0.07164,0.10034,0.0,0.21665,0.38636,0.0,0.2404,0.023569999999999997,0.15596,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.05072,1.05072,1.05072,0.0,0.0,1.05072,0,0,
Hf1Fe1Cl6,0.04777,0.01396,0.09437999999999999,0.03325,0.01192,0.21031999999999998,0.06635,0.21791999999999997,1.0,0.08167999999999999,0.09945,0.56038,0.02376,-0.09767999999999999,0.12655999999999998,0.36708,0.11459000000000001,0.02139,0.05042,0.17101,0.11602,0.26354,0.09523999999999999,0.08774,0.02394,0.00573,0.19915,0,1,-1.2897100000000001,0.0,0.0,0.0,0.0,1.7939200000000002,4.8057300000000005,3.10717,6.21434,11.41676,5.17861,0,0,
Ta2Te8Ir2,0.05535,0.00281,0.11548,0.08151,0.08943,0.04662,0.01697,0.25132,0.08993,0.060270000000000004,0.0398,0.85814,0.02188,-0.12635,0.10247,0.87424,0.21766999999999997,0.06271,0.26225,0.03916,0.23106999999999997,0.33434,0.36541999999999997,0.2182,0.09593,0.11771,0.07092000000000001,0,0,0.0,0.0,0.0,0.0,197.0,-0.9530799999999999,-6.77336,-7.65115,0.0,0.0,-7.6512899999999995,0,0,
Cu2Cl2O4-T1,0.04217,0.0378,0.22659,0.1194,0.08409,0.15964,0.0,0.21882,0.48318999999999995,0.13583,0.20035,0.5603199999999999,0.0287,-0.09767999999999999,0.0,0.36708,0.028069999999999998,0.0472,0.05042,0.14176,0.10844000000000001,0.3315,0.0,0.13725,0.14014000000000001,0.013080000000000001,0.26871,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.4625,0.0,0.0,0.0,3.4625,0,0,
Sn1S2,0.031560000000000005,0.011590000000000001,0.02061,0.02283,0.026180000000000002,0.13771,0.0,0.48923999999999995,0.06989,0.02134,0.054920000000000004,0.86361,0.07365,-0.10920999999999999,0.0,0.48265,0.09567,0.013380000000000001,0.25895999999999997,0.0,0.10294,0.60124,0.0,0.19525,0.09458,0.06068,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
Y2Ga2I2,0.02012,0.01001,0.0669,0.17407999999999998,0.12577,0.21173000000000003,0.26921999999999996,0.2704,0.04616,0.049960000000000004,0.03443,0.88328,0.022580000000000003,-0.09766,0.0,0.27260999999999996,0.07961,0.06642999999999999,0.29448,0.01641,0.09291,0.4022,0.0,0.0958,0.0067,0.00715,0.030989999999999997,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.61876,1.61789,0.0,0.0,1.13179,1,0,
As2Pb2,0.059829999999999994,0.53112,0.00047999999999999996,0.03606,0.11832999999999999,0.11969,0.0,0.27326999999999996,0.16034,0.056639999999999996,0.0029100000000000003,0.78174,0.07767,-0.11238,0.0,0.20243,0.07165,0.0696,0.10034,0.0,0.17010999999999998,0.38873,0.00101,0.10800000000000001,0.023569999999999997,0.15596,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.21846,2.11043,2.11043,0.0,0.0,2.11043,0,1,
