Monolayer,Atom_HardnessRB_StDiv,Atom_Inv_Diff_ENARrev_ENGordyRev_Range,Atom_Inv_Diff_ENGordyRev_EA_StDiv,Atom_Inv_Diff_ENGordyRev_IP5_StDiv,Atom_Inv_Diff_ENGordyRev_IP6_StDiv,Atom_Inv_Diff_IP7_IP8_StDiv,Atom_Inv_Mult_EA_ThermalExpansion_Range,Atom_Inv_Mult_IP2_LatticeConstant_Min,Atom_Inv_Mult_SpeedSound_Zeff_Median,Atom_Log_Mult_ENGordyRev_IP6_Range,Atom_Log_Mult_IP7_Period_Range,Atom_Log_Mult_SpeedSound_RadiiCordero08_Median,Atom_Log_Ratio_IP2_IP3_StDiv,Atom_Log_Ratio_IP6_IP7_Max,Atom_Log_Ratio_PoissonRatio_Ntotal_Range,Atom_Mult_EA_dHAtom_Max,Atom_Mult_EA_dHAtom_StDiv,Atom_Mult_EA_dHFus_StDiv,Atom_Mult_IP8_SpeedSound_Min,Atom_Mult_IP8_SpeedSound_StDiv,Atom_Mult_LatticeConstant_Density_StDiv,Atom_Mult_LatticeConstant_RadiiBatsanov_Min,Atom_Mult_ThermalCond_YoungsModule_StDiv,Atom_Ratio_Density_TDebye0_Min,Atom_Ratio_EA_ThermalExpansion_Min,Atom_Ratio_ENARrev_YoungsModule_Min,Atom_Ratio_dHFus_SpeedSound_StDiv,CrystSyst_hexagonal,CrystSyst_trigonal,EState_Dist_Hf_EA,EState_Dist_Ti_ENARrev,EState_Topo_Ni_Zeff,EState_Topo_Pd_Zeff,EState_Topo_Te_dHAtom,Moment_N_f_2,Moment_SpeedSound_1,Moment_TCritical_1,Moment_TCurie_1,Moment_TCurie_3,Moment_ThermalExpansion_1,SG164,SG187,
U1B2O6,0.05207,0.03942,0.11466,0.22918,0.19705,0.31814,0.12941,0.2392,0.48319,0.21346,0.11842,0.56026,0.01596,-0.23503,0,0.30301,0.09749,0.0381,0.19471,0.01022,0.15217,0.30096,0,0.0084,0.01346,0.00734,0.06082,0,0,0,0,0,0,0,-1.4307,-1.9754,-4.82361,0,0,-3.3554,0,0,
Si12P12,0.05361,0.00261,0.1197,0.21606,0.00941,0.02571,0,0.4086,0.0637,0.02923,0.00927,0.81742,0.06878,-0.10654,0,0.52772,0.16592,0.23457,0.46941,0,0.00208,0.52355,0,0.0192,1,0.08081,0,0,0,0,0,0,0,0,0,0.8851,0,0,0,0.8851,0,0,
P4H8Pb2O8,0.06427,0.53339,0.07534,0.13968,0.14296,0.1758,0,0.2392,0.16034,0.13091,0.12344,0.62618,0.05172,-0.10654,0,0.30301,0.08433,0.00264,0.10034,0.03775,0.1592,0.18939,0,0.00308,0.02357,0.15596,0.04767,0,0,0,0,0,0,0,-3.00884,-12.92227,-12.92227,0,0,-12.92227,0,0,
Ge4As8,0.04245,0.00215,0.06046,0.11091,0.00985,0.00816,0,0.27327,0.03533,0.01857,0.00197,0.91968,0.07456,-0.11509,0,0.38706,0.08704,0.05397,0.66931,0,0.03188,0.38873,0,0.07585,0.38443,0.72586,0,0,0,0,0,0,0,0,0,-0.93949,0,0,0,-0.93949,0,0,
Sn2Pb2F8,0.12388,0.53353,0.10706,0.10141,0.14117,0.26333,0.06563,0.19345,0.11512,0.16919,0.06623,0.82268,0.03545,-0.09781,0.10987,0.27971,0.06864,0.01711,0.10034,0.07931,0.21735,0.38636,0.01749,0.19525,0.02357,0.06068,0.03165,0,0,0,0,0,0,0,3.12159,1.04053,1.04053,0,0,1.04053,0,0,
Sc2Cl2,0.07079,0.00737,0.03704,0.10674,0.05119,0.27288,0,0.31807,1,0.08108,0.06535,0.56038,0.03422,-0.09768,0,0.36708,0.15395,0.02896,0.05042,0,0.00085,0.34954,0,0.04593,0.03449,0.0083,0,0,1,0,0,0,0,0,0,1.73314,0.86657,0,0,0.86657,1,0,
Re1Se2,0.05083,0.00158,0.11657,0.12193,0.09409,0.10561,0.43488,0.20451,0.07006,0.00055,0.03079,0.86965,0.01856,-0.12556,0.08193,0.38201,0.17551,0.03325,0.43311,0.02063,0.18313,0.25978,0.13225,0.16695,0.00453,0.10497,0.11175,1,0,0,0,0,0,0,1.47973,2.6844,3.58822,0,0,2.16927,0,1,
Mn1Co2O6,0.08739,0.01721,0.17033,0.08136,0.07223,0.1331,0.04547,0.18071,0.48319,0.15596,0.15506,0.56026,0.05803,-0.13153,0.00103,0.30301,0.16578,0.04482,0.19471,0.19053,0.18377,0.23049,0.11521,0.0937,-0.08623,0.00542,0.05155,0,1,0,0,0,0,0,0,1.65833,0,1.22774,10.9572,1.78628,0,0,
La2I6,0.03463,0.00273,0.08701,0.07876,0.00539,0.22344,0,0.41239,0.04776,0.03367,0.02559,0.89506,0.02105,-0.09766,0,0.27261,0.04499,0.06106,0.1826,0,0.06794,0.43044,0,0.2404,0.07268,0.01615,0,0,0,0,0,0,0,0,0,1.1001,1.1001,0,0,1.1001,0,0,
Cd2P2S6,0.0321,0.01086,0.02169,0.02684,0.16988,0.08999,0,0.21678,0.06359,0.14135,0.06486,0.8498,0.07301,-0.10654,0,0.48265,0.19839,0.01118,0.21117,0,0.04367,0.30101,0,0.21894,0,0.02762,0,0,1,0,0,0,0,0,0,3.13019,3.13019,0,0,3.13019,0,0,
Ca1Pb1I4,0.02138,0.53185,0.08724,0.15985,0.10802,0.19377,0.91259,0.40502,0.0928,0.03606,0.04324,0.85251,0.17573,-0.09325,0.51061,0.27261,0.11484,0.07273,0.10034,0.14692,0.14624,0.52273,0.02172,0.03598,0.00206,0.02642,0.03872,0,0,0,0,0,0,0,0,-4.82585,-7.83921,0,0,-6.11682,0,0,
Bi1Te1I1,0.0162,0.00694,0.075,0.05658,0.08905,0.20983,0,0.28808,0.10439,0.01938,0.04782,0.84205,0.01088,-0.09112,0,0.32337,0.06716,0.0671,0.15344,0.0544,0.07931,0.42089,0.0008,0.2182,0.13159,0.10806,0.01349,0,1,0,0,0,0,197,2.53003,2.59941,0,0,0,0,0,0,
Si4O8,0.07847,0.00474,0.19976,0.06453,0.07306,0.05583,0,0.2392,0.48319,0.03602,0.09503,0.56026,0.05964,-0.10868,0,0.52772,0.10593,0.22164,0.19471,0.12949,0.02369,0.51115,0,0.0192,1,0.08081,0.45698,1,0,0,0,0,0,0,0,1.40435,0,0,0,1.32979,0,0,
Sc2N1Cl2,0.13174,0.00768,0.1683,0.10643,0.19504,0.27288,0,0.16783,1,0.29281,0.18625,0.56038,0.03742,-0.09768,0,0.36708,0.33543,0.03341,0.05042,0,0.02743,0.30413,0,0.04593,0.03449,0.0083,0.29865,0,1,0,0,0,0,0,0,1.2138,0.83842,0,0,0.83842,1,0,
Sr2H4Se4O12,0.07711,0.01477,0.11813,0.11937,0.13505,0.21229,0.45564,0.2392,0.48319,0.16546,0.14318,0.56026,0.136,-0.09958,0.42724,0.38201,0.11083,0.02757,0.19471,0.10323,0.06922,0.18939,0,0.00308,0.00433,0.76901,0.01771,0,0,0,0,0,0,0,0,0.82616,0,0,0,0.82616,0,0,
Ag1Bi1P2Se6,0.03672,0.00896,0.08266,0.04833,0.18955,0.11806,0.0045,0.23416,0.07006,0.15061,0.05481,0.86965,0.0113,-0.09112,0.24178,0.38201,0.08867,0.0304,0.15344,0.10537,0.1124,0.38035,0.14886,0.16695,0.10218,0.015,0.07026,0,1,0,0,0,0,0,1.93917,0.61106,0,0,0,0.42661,0,0,
Nb4Co4Te8,0.00484,0.01465,0.08245,0.12109,0.15758,0.11071,0.01259,0.18071,0.06097,0.00638,0.02538,0.88226,0.05795,-0.09218,0.18799,0.54578,0.11478,0.06609,0.26225,0.10684,0.02546,0.23049,0.10733,0.10284,0.09547,0.00573,0.07069,0,0,0,0,0,0,-1167.33333,0,4.9276,3.87055,5.80582,3.18473,5.10989,0,0,
Ti2S6,0.05772,0.00745,0.05324,0.08168,0.0877,0.0658,0,0.26728,0.0209,0.03848,0.05535,0.94363,0.06177,-0.09711,0,0.48265,0.19558,0.00621,0.60968,0,0.03751,0.29121,0,0.05745,0.01719,0.00618,0,0,0,0,-4.09249,0,0,0,0,-2.56715,-2.56715,0,0,-2.56715,0,0,
Ga2Se2,0.02725,0.01018,0.00023,0.07762,0.11146,0.0038,0.28707,0.25301,0.06584,0.00045,0.01346,0.85999,0.00036,-0.13269,0,0.38201,0.14141,0.02881,0.32729,0.05291,0.03018,0.38035,0,0.09666,0.0067,0.76901,0.00938,1,0,0,0,0,0,0,0,2.73092,3.767,0,0,3.32312,0,1,
Ge6Bi6,0.01837,0.00405,0.03595,0.17175,0.0844,0.12531,0.0103,0.34979,0.0771,0.02804,0.00879,0.87282,0.07825,-0.09112,0,0.38706,0.1123,0.09795,0.15344,0.25793,0.08459,0.50161,0,0.07585,0.13159,0.10806,0.00439,0,0,0,0,0,0,0,-1.06172,-6.35102,0,0,0,-5.4567,0,0,
Gd2Br6,0.13904,0.00059,0.10992,0.03629,0.01931,0.24767,0,0.37032,0.10144,0.02192,0.05949,0.89768,0.01041,-0.1042,0,0.31376,0.1162,0.05319,0.23162,0,0.036,0.39776,0,0.23072,0.02727,0.13174,0,0,0,0,0,0,0,0,2.85261,2.6529,2.6529,2.6529,8.81547,2.6529,0,0,
Ca2La2I10,0.02959,0.00595,0.06937,0.14279,0.10165,0.21087,0.97166,0.41239,0.03651,0.03606,0.02559,0.90917,0.16534,-0.09325,0.11316,0.27261,0.09508,0.06802,0.1826,0.10579,0.11242,0.43044,0.02225,0.03598,0.00206,0.01615,0.00578,0,0,0,0,0,0,0,0,-0.87724,-2.22765,0,0,-0.78356,0,0,
W1O2F2,0.13911,0.00018,0.0168,0.21045,0.22775,0.2313,0,0.19345,0.48319,0.15565,0.18967,0.56026,0.03037,-0.09781,0,0.58465,0.1333,0.07577,0.19471,0.12429,0.22621,0.30468,0,0.26784,0.33941,0.10361,0.14209,0,0,0,0,0,0,0,-2.7478,-11.88398,-11.88398,0,0,-11.88398,0,0,
V2Re4O18,0.09802,0.00956,0.12608,0.20061,0.18872,0.12116,0.43746,0.20451,0.48319,0.12568,0.14958,0.56026,0.03195,-0.09679,0.36693,0.30301,0.10852,0.02179,0.19471,0.13491,0.19387,0.25978,0.10889,0.08139,0.00453,0.00646,0.10922,0,0,0,0,0,0,0,-15.24376,-1.52861,-1.42115,0,0,-1.42115,0,0,
V1Ag1P2Se6,0.03867,0.00896,0.10111,0.01081,0.19685,0.10328,0.00421,0.23416,0.07006,0.15061,0.05481,0.86965,0.04085,-0.09679,0.28501,0.38201,0.07929,0.03089,0.23539,0.08179,0.08197,0.28425,0.14756,0.08139,0.10218,0.00646,0.0575,0,0,0,0,0,0,0,0,-6.63147,-7.72261,0,0,-6.53747,0,0,
Mn2P2S6,0.04773,0.01072,0.03108,0.03057,0.16564,0.03858,0,0.4461,0.02361,0.14917,0.07805,0.9381,0.06758,-0.10654,0,0.48265,0.28089,0.04414,0.70733,0,0.18981,0.56952,0,0.0937,-0.08623,0.00542,0,0,0,0,0,0,0,0,0,-0.11788,0,0,0,-0.11788,0,0,
Pb1F4,0.10664,0.53353,0.06279,0.09896,0.13593,0.23496,0,0.19345,0.16034,0.16919,0.06623,0.78174,0.03178,-0.09781,0,0.22378,0.06587,0.00231,0.10034,0,0.20962,0.38636,0,0.57455,0.02357,0.15596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sn2As2-T1,0.05598,0.01042,0.05804,0.07322,0.07271,0.08967,0,0.27327,0.06989,0.04524,0.00559,0.86361,0.07323,-0.10921,0,0.27971,0.03864,0.04913,0.25896,0,0.09876,0.38873,0.0185,0.108,0.09458,0.06068,0,1,0,0,0,0,0,0,0,2.04505,2.04505,0,0,2.04505,0,1,
Ca1I2,0.02067,0.00595,0.01261,0.18708,0.1378,0.19277,0,0.49634,0.02526,0.03606,0.02051,0.92327,0.22541,-0.09325,0,0.27261,0.12679,0.07511,0.39417,0,0.14505,0.61488,0,0.03598,0.00206,0.02642,0,0,1,0,0,0,0,0,0,2.23534,0,0,0,2.23534,1,0,
U1O2F2,0.03258,0.03956,0.13037,0.22872,0.23667,0.3802,0,0.19345,0.48319,0.25174,0.18967,0.56026,0.02887,-0.09781,0,0.30301,0.0944,0.00274,0.19471,0.01376,0.19821,0.30096,0,0.40829,0.01346,0.00734,0.07725,1,0,0,0,0,0,0,3.65531,2.11039,2.11039,0,0,2.11039,0,0,
Bi1Te1F1,0.10501,0.00862,0.11815,0.18947,0.20705,0.29198,0,0.19345,0.10439,0.17454,0.07081,0.84205,0.04067,-0.09112,0,0.32337,0.06631,0.09588,0.15344,0.0544,0.1719,0.38636,0.0008,0.2182,0.13159,0.10806,0.01349,0,1,0,0,0,0,192,3.58529,0.8421,0,0,0,2.06997,0,0,
U2Te6-T1,0,0.03687,0.01961,0.08634,0.04745,0.15661,0,0.28808,0.08993,0.0772,0.00044,0.85814,0.03116,-0.23503,0,0.32337,0.12069,0.09703,0.2239,0.0166,0.12017,0.30096,0.03068,0.2182,0.01346,0.00734,0.04303,0,0,0,0,0,0,-85.5,-2.08764,-1.02375,-0.30189,0,0,-0.30189,0,0,
Hf2N2Cl2,0.11866,0.00069,0.16017,0.10287,0.24512,0.27437,0,0.16783,0.39433,0.21912,0.18625,0.57306,0.01421,-0.09768,0,0.36708,0.39497,0.0346,0.05042,0.12072,0.18015,0.30413,0,0.28074,0.10466,0.41113,0.25866,0,1,0.42131,0,0,0,0,1.54908,0.94626,0.89436,0,0,0.89436,1,0,
P2Pd2S2,0.04945,0.00803,0.0595,0.04274,0.20497,0.1772,0,0.24625,0.04455,0.14958,0.07018,0.87591,0.02579,-0.10654,0,0.48265,0.13998,0.025,0.25886,0,0.14959,0.36614,0,0.23575,0.08914,0.00921,0,0,0,0,0,0,1.9,0,0,10.89035,0,0,0,10.89035,0,0,
Zr1Mo2O8,0.08062,0.00668,0.18026,0.16046,0.1665,0.24166,0.00762,0.2392,0.48319,0.1884,0.13303,0.56026,0.01912,-0.09021,0.11106,0.41016,0.05155,0.06895,0.19471,0.13615,0.1003,0.30372,0.26301,0.11924,0.14017,0.0021,0.10977,0,1,0,0,0,0,0,0,2.4812,2.60793,0,0,3.15582,1,0,
Tm2Br2O2-T1,0.15031,0.00083,0.16109,0.16487,0.11698,0.28033,0,0.2392,0.48319,0.09116,0.17508,0.56026,0.04715,-0.10051,0,0.31376,0.14398,0.06133,0.19471,0,0.10743,0.37383,0,0.24772,0.00225,0.26935,0,0,0,0,0,0,0,0,3.0772,0.93987,0,0.93987,13.08647,0.93987,0,0,
Ba4Sb4Se8F4,0.10315,0.00494,0.08777,0.14741,0.16141,0.25367,0.14525,0.19345,0.06613,0.19512,0.07088,0.86965,0.15767,-0.09651,0,0.38201,0.13266,0.04976,0.11497,0.12992,0.08112,0.38035,0.00687,0.16165,0.01314,0.02463,0.08288,0,0,0,0,0,0,0,0,3.13784,0,0,0,3.13784,0,0,
Mo1Te2-T1,0,0.00412,0.06386,0.02038,0.01038,0.01402,0,0.23976,0.08993,0.05214,0.00158,0.85814,0.03007,-0.34951,0,0.41016,0.04091,0.02422,0.26225,0.13322,0.02182,0.30372,0.27143,0.12842,0.29131,0.0021,0.00079,0,1,0,0,0,0,-34,0,1.26456,0.00534,0,0,0.00534,1,0,
Ta4Ni2Se14,0.05257,0.02373,0.13163,0.1387,0.06636,0.07371,0.00872,0.2383,0.07006,0.05693,0.04135,0.86965,0.03885,-0.11962,0.12258,0.41538,0.07101,0.01805,0.33207,0.05946,0.14157,0.32323,0.0799,0.0992,0.09593,0.00764,0.15516,0,0,0,0,-1.75,0,0,-1.73068,-5.7221,-7.25802,-3.64681,-17.31702,-5.68176,0,0,
Zr1Ti1Te4,0.03939,0.006,0.03827,0.1371,0.16494,0.08717,0.10515,0.26728,0.08993,0.01499,0.01417,0.85814,0.05928,-0.09021,0.01353,0.32337,0.10836,0.09457,0.26225,0.12721,0.05696,0.29121,0.01195,0.05745,0.01719,0.00618,0.0494,0,0,0,-1.00636,0,0,-144,0,-2.47374,-2.04835,0,0,-1.33849,0,0,
Ge2Sb2Te5,0.02234,0.00224,0.03035,0.12776,0.16957,0.10286,0.0062,0.28808,0.08993,0.04342,0.00945,0.85814,0.07177,-0.09651,0,0.38706,0.0534,0.04465,0.26225,0.16323,0.0124,0.42089,0.00679,0.07585,0.17817,0.07647,0.01926,0,1,0,0,0,0,161,0,1.52408,0,0,0,1.43498,1,0,
Cr2Ge2Te6,0.01373,0.00779,0.0764,0.11426,0.15874,0.10514,0.00262,0.21487,0.08993,0.07225,0.01383,0.85814,0.07434,-0.13311,0,0.38706,0.05249,0.06036,0.26225,0.22666,0.03353,0.27107,0.14268,0.06298,0.25808,0.00338,0.05523,0,1,0,0,0,0,-153,0,2.21236,0,0,0,2.67629,0,0,
As4S2O12,0.04723,0.00227,0.09252,0.1402,0.07824,0.11504,0,0.2392,0.48319,0.09816,0.12634,0.56026,0.00761,-0.11509,0,0.48265,0.07634,0.06092,0.19471,0,0.07495,0.38873,0,0.108,0,0.72586,0,0,0,0,0,0,0,0,0,2.38398,0,0,0,0,0,0,
Zr1P2H2O6,0.07646,0.01477,0.1168,0.1226,0.09847,0.14901,0,0.2392,0.48319,0.15124,0.13303,0.56026,0.01916,-0.09021,0,0.30301,0.06692,0.01673,0.19471,0.05679,0.05783,0.18939,0,0.00308,0.14017,0.00769,0.06755,0,1,0,0,0,0,0,0,2.00219,2.74137,0,0,2.74137,0,0,
Zn8Se4Cl8O12,0.05139,0.11127,0.13799,0.1216,0.10553,0.13361,0,0.18213,0.48319,0.1272,0.20035,0.56038,0.06919,-0.09768,0.00224,0.38201,0.14925,0.03659,0.05042,0.1655,0.05657,0.25647,0.07454,0.11524,0,0.01749,0.27183,0,0,0,0,0,0,0,0,3.79635,3.79647,0,0,3.7964,0,0,
Co1Cl2,0.03854,0.01662,0.04071,0.06365,0.02531,0.17225,0,0.18071,1,0.07528,0.05611,0.56038,0.03529,-0.09768,0,0.36708,0.06211,0.0026,0.05042,0.22294,0.06217,0.23049,0,0.10284,0.09547,0.00651,0.25001,0,0,0,0,0,0,0,0,-2.59321,0,-2.71438,-11.31894,-2.71438,0,0,
Ta1S2-T1,0.07066,0.00125,0.09884,0.17465,0.01944,0.16459,0,0.25132,0.13806,0.02218,0.02273,0.9077,0.01023,-0.1405,0,0.48265,0.12836,0.02565,0.33207,0,0.16499,0.33434,0,0.35984,0.09593,0.19969,0,0,1,0,0,0,0,0,2.93026,1.69179,1.69179,0,0,1.69179,1,0,
Hf1Se2-T1,0.00028,0.00148,0.09549,0.00267,0.05967,0.08553,0.00048,0.25301,0.07006,0.03408,0.01789,0.86965,0.0082,-0.1107,0.00075,0.38201,0.09962,0.00797,0.29186,0.06658,0.10706,0.33058,0.01065,0.16695,0.10218,0.41113,0.14172,0,1,0.08971,0,0,0,0,0,1.87131,0,0,0,2.51174,1,0,
Pu2Br6,0,0.00335,0.05923,0.06053,0.01084,0.31317,0,0.37998,0.10086,0.06619,0.0656,0.87489,0.02417,-0.10244,0,0.31376,0.12331,0.05639,0.17309,0,0,0.57268,0,0.51191,0.00401,0.04033,0,0,0,0,0,0,0,0,6.84333,1.00079,0,0,0,1.00079,0,0,
V2Cu2O8,0,0.0378,0.2337,0.10591,0.04898,0.18729,0.00288,0.21882,0.48319,0.13583,0.13401,0.56026,0.04587,-0.09679,0.19476,0.34788,0.03612,0.04471,0.19471,0.14759,0.0962,0.28425,0.30347,0.08139,0.11717,0.00646,0.07538,0,0,0,0,0,0,0,0,2.25839,2.81444,0,0,1.88195,0,0,
Ga2S2-T1,0.03703,0.01045,0.00222,0.05687,0.08362,0.08005,0,0.2704,0.06162,0.01112,0.05524,0.85032,0.00066,-0.13269,0,0.48265,0.19173,0.00403,0.32729,0,0.02606,0.43485,0,0.09666,0.0067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Mo1Se2-T1,0,0.0053,0.08333,0.07072,0.05809,0.11763,0.01309,0.23976,0.07006,0.07956,0.00151,0.86965,0.02555,-0.35873,0.20486,0.41016,0.01327,0.05105,0.43311,0.05268,0.05577,0.30372,0.27216,0.12842,0.10218,0.0021,0.10443,0,1,0,0,0,0,0,0,1.34682,0,0,0,2.28415,1,0,
Ti2Cl2O2,0.10788,0.00855,0.16342,0.12709,0.08144,0.15723,0,0.2392,0.48319,0.13664,0.20035,0.56038,0.05132,-0.09711,0,0.36708,0.1457,0.03418,0.05042,0.23707,0.02409,0.29121,0,0.05745,0.01719,0.00618,0.28085,0,0,0,-12.24526,0,0,0,0,0.81575,0.81575,0,0,0.81575,0,0,
Cu2Se2,0,0.03642,0.14379,0.05878,0.08728,0.01294,0.00546,0.21882,0.05364,0.02699,0.01522,0.88139,0.04544,-0.17867,0.09025,0.38201,0.01707,0.01787,0.43311,0.00564,0.05996,0.3315,0.32825,0.13725,0.10218,0.01308,0.04002,0,0,0,0,0,0,0,0,0.91505,0,0,0,0.91505,0,0,
Zn1W1O4,0.11312,0.11145,0.08853,0.19328,0.19745,0.1989,0,0.18213,0.48319,0.1272,0.13903,0.56026,0.06,-0.12858,0.08868,0.58465,0.16885,0.07145,0.19471,0.12718,0.20302,0.25647,0.37239,0.11524,0,0.01749,0.11009,0,0,0,0,0,0,0,4.59052,1.30655,-0.03401,0,0,0.22232,0,0,
Nb2I2O4,0.07944,0.00632,0.22128,0.24955,0.15981,0.25775,0,0.2392,0.48319,0.1424,0.16668,0.56026,0.02321,-0.09218,0,0.54578,0.11021,0.07965,0.19471,0.06498,0.13732,0.32576,0,0.16504,0.22915,0.00573,0.14468,0,0,0,0,0,0,0,0,-1.97971,-1.97971,0,0,-1.97971,0,0,
V4O10,0,0.00935,0.2058,0.12333,0.00762,0.19641,0,0.2392,0.48319,0.12568,0.12292,0.56026,0.05254,-0.09679,0,0.30301,0.03496,0.0357,0.19471,0.16324,0.05012,0.28425,0,0.08139,0.11717,0.00646,0.08517,0,0,0,0,0,0,0,0,5.79744,5.71264,0,0,5.71263,0,0,
Fe2Se2,0.04206,0.01248,0.03845,0.04157,0.07603,0.02096,0.06587,0.21792,0.0474,0.04021,0.02976,0.9007,0.05512,-0.13909,0.12581,0.38201,0.16491,0.02989,0.43311,0.05517,0.00897,0.26354,0.10653,0.08774,0.02394,0.00573,0.02374,0,0,0,0,0,0,0,0,0.91925,0,0.91925,11.38951,0.91925,0,0,
Tc2P6,0.08645,0.00496,0.07707,0.0371,0.24498,0.02908,0,0.22085,0,0.17428,0.08031,0,0.0481,-0.10654,0,0.30279,0.04629,0.03569,0,0,0.08363,0.2579,0,0.13464,0,0,0,0,0,0,0,0,0,0,0,0,-0.79855,0,0,0,0,0,
Lu2I2O2,0.07538,0.0016,0.17964,0.20997,0.15994,0.23506,0,0.2392,0.48319,0.11688,0.16668,0.56026,0.0072,-0.09766,0,0.30301,0.07952,0.06634,0.19471,0,0.14113,0.36583,0,0.2404,0.06426,0.40341,0,0,0,0,0,0,0,0,2.88137,0.96046,0.96046,0,0,0.96046,0,0,
Zr3Te6Cl36,0.04821,0.00547,0.0187,0.04865,0.08942,0.22417,0,0.28808,1,0.08388,0.08149,0.56038,0.02254,-0.09021,0,0.36708,0.03923,0.05342,0.05042,0.09939,0.06771,0.34109,0.00842,0.11924,0.14017,0.00769,0.16202,0,1,0,0,0,0,143,0,3.10221,3.72563,0,0,3.72563,0,0,
Cu2As4S3Cl2,0.02023,0.03721,0.13016,0.06425,0.08216,0.13073,0,0.21882,0.51861,0.06847,0.12334,0.72675,0.03428,-0.09768,0,0.48265,0.11205,0.05089,0.05042,0.19699,0.07235,0.3315,0.30713,0.108,0.14014,0.01308,0.26504,0,0,0,0,0,0,0,0,3.34542,0,0,0,3.37093,0,0,
Sr2Bi2Br2O4,0.07842,0.00848,0.15433,0.18337,0.12491,0.2752,0.46015,0.2392,0.48319,0.16546,0.17508,0.56026,0.17021,-0.09112,0.55991,0.31376,0.11932,0.05212,0.15344,0.01945,0.14853,0.50161,0,0.09184,0.00433,0.10806,0.11138,0,0,0,0,0,0,0,-2.81049,-2.98406,0,0,0,-2.98406,0,0,
In2Cl2O2,0.08871,0.07354,0.13725,0.12601,0.09898,0.23516,0,0.2392,0.48319,0.13465,0.20035,0.56038,0.02252,-0.09768,0,0.36708,0.1241,0.03449,0.05042,0.05916,0.12239,0.46364,0,0.34691,0.02238,0.19118,0.28819,0,0,0,0,0,0,0,0,0.89117,0.89117,0,0,0.89117,0,0,
Ta2Fe2Te6,0.04127,0.014,0.10644,0.13056,0.13328,0.06893,0.06456,0.21792,0.08993,0.07306,0.04881,0.85814,0.04945,-0.13909,0.15748,0.32337,0.10657,0.09393,0.26225,0.10891,0.12171,0.26354,0.08785,0.08774,0.02394,0.00573,0.10939,0,0,0,0,0,0,-179.97222,-1.74649,-2.84163,-2.01519,-2.01519,-11.70488,-2.01519,0,0,
Ir2Br6,0.08029,0.00108,0.13625,0.02449,0.06824,0.26677,0,0.27783,0.11548,0.00225,0.03554,0.92478,0.00323,-0.11379,0,0.87424,0.2427,0.06206,0.35598,0,0.29575,0.35262,0,0.28373,0.45737,0.11771,0,0,0,0,0,0,0,0,-2.77659,-6.19935,-6.19935,0,0,-6.19935,0,0,
Bi1Te1I1-T1,0.0162,0.00694,0.075,0.05658,0.08905,0.20983,0,0.28808,0.10439,0.01938,0.04782,0.84205,0.01088,-0.09112,0,0.32337,0.06716,0.0671,0.15344,0.0544,0.07931,0.42089,0.0008,0.2182,0.13159,0.10806,0.01349,0,1,0,0,0,0,197,3.79682,2.1921,0,0,0,2.1921,0,0,
Cr2O2F2,0.08551,0.01048,0.2234,0.10811,0.114,0.20836,0,0.19345,0.2514,0.20337,0.18967,0.75267,0.03637,-0.09781,0,0.30301,0.03742,0.04233,0.19471,0.28821,0.06802,0.27107,0,0.06298,0.25808,0.00338,0.06033,0,0,0,0,0,0,0,0,0.75089,0,0,0,0.75089,0,0,
Tm2Cl2O2,0.15367,0.00058,0.1434,0.13851,0.08749,0.2997,0,0.2392,0.7416,0.08553,0.20035,0.56032,0.04509,-0.09768,0,0.36708,0.15866,0.03596,0.05042,0.07215,0.11965,0.37383,0,0.24772,0.00225,0.26935,0.32509,0,0,0,0,0,0,0,3.08056,0.92215,0,0.92215,12.91679,0.92215,0,0,
Sr2Al4Cl16,0.05079,0.01814,0.0121,0.15365,0.12798,0.19334,0.41705,0.26457,1,0.0995,0.10275,0.56038,0.11782,-0.09768,0.04067,0.36708,0.1304,0.0261,0.05042,0.37983,0.01713,0.3905,0,0.03313,0.00433,0.03251,0.23479,0,0,0,0,0,0,0,0,11.97086,11.97086,0,0,11.97086,0,0,
Sn6Sb6,0.03673,0.0079,0.03384,0.12747,0.01713,0.00123,0.01022,0.33357,0.06605,0.01711,0.00489,0.87541,0.07358,-0.09651,0,0.27971,0.02558,0.04351,0.25896,0.03753,0.0647,0.45556,0.01269,0.16165,0.09458,0.06068,0.07004,0,0,0,0,0,0,0,0,-6.00896,-7.1897,0,0,-6.48195,0,0,
Cu4Bi7S12,0.004,0.03669,0.11297,0.10722,0.04377,0.16814,0.00096,0.21882,0.11886,0.03766,0.057,0.82595,0.03345,-0.09112,0.22292,0.48265,0.14052,0.03271,0.15344,0.13996,0.11314,0.3315,0.31428,0.13725,0.13159,0.01308,0.05589,0,0,0,0,0,0,0,-0.56332,-4.60846,0,0,0,-4.38501,0,0,
Ge6P6,0.05628,0.00229,0.05576,0.10294,0.1232,0.06013,0,0.4369,0.03533,0.08604,0.04255,0.91968,0.07866,-0.10654,0,0.38706,0.09559,0.13111,0.66931,0,0.08934,0.54573,0,0.07585,0.38443,0,0,0,0,0,0,0,0,0,0,-6.06236,0,0,0,-6.06236,0,0,
