Monolayer,Atom_EA_Min,Atom_HardnessRB_StDiv,Atom_IP8_Min,Atom_Inv_Diff_IP2_IP4_StDiv,Atom_Inv_Diff_IP5_IP6_StDiv,Atom_Inv_Diff_IP7_IP8_StDiv,Atom_Inv_Mult_EA_ThermalExpansion_Range,Atom_Inv_Mult_ENGhosh2010_Group_Max,Atom_Inv_Mult_IP8_HeatCap_Median,Atom_Inv_Mult_IP8_LatticeConstant_StDiv,Atom_Inv_Mult_PoissonRatio_Ntotal_StDiv,Atom_Inv_Mult_SpeedSound_TDebye0_Min,Atom_Inv_Mult_SpeedSound_Zeff_Min,Atom_Inv_Mult_ThermalExpansion_Group_Min,Atom_Inv_Mult_ThermalExpansion_MolarVol_Median,Atom_Inv_Mult_dHAtom_Density_StDiv,Atom_Inv_Mult_dHFus_PoissonRatio_Min,Atom_Inv_SQR_RadiiBatsanov_Min,Atom_Log_Mult_IP1_MolarVol_Min,Atom_Log_Mult_IP1_MolarVol_Range,Atom_Log_Mult_IP8_LatticeConstant_Min,Atom_Log_Mult_PoissonRatio_Nvalence_Range,Atom_Log_Mult_dHFus_ThermalExpansion_Min,Atom_Log_Mult_dHVap_ThermalExpansion_Max,Atom_Log_Mult_dHVap_ThermalExpansion_Min,Atom_Log_Ratio_Density_BulkModule_Min,Atom_Log_Ratio_Density_Mass_StDiv,Atom_Log_Ratio_ENGhosh2010_Group_Min,Atom_Log_Ratio_IP1_IP8_Median,Atom_Log_Ratio_IP1_IP8_Min,Atom_Log_Ratio_IP4_EA_StDiv,Atom_Log_Ratio_IP5_IP6_Min,Atom_Log_Ratio_PoissonRatio_Ntotal_Range,Atom_Log_Ratio_RadiiCordero08_MolarVol_Max,Atom_Log_Ratio_SpeedSound_BulkModule_Min,Atom_Log_Ratio_dHFus_TDebye0_StDiv,Atom_MolarVol_Min,Atom_Mult_EA_DipolePolaris_StDiv,Atom_Mult_EA_YoungsModule_Median,Atom_Mult_EA_dHFus_StDiv,Atom_Mult_IP1_Period_StDiv,Atom_Mult_IP7_EA_Min,Atom_Mult_LatticeConstant_RadiiBatsanov_Min,Atom_Mult_ThermalCond_MolarVol_Mean,Atom_Mult_ThermalCond_MolarVol_Median,Atom_Mult_ThermalCond_YoungsModule_Min,Atom_Mult_ThermalExpansion_BulkModule_StDiv,Atom_Mult_ThermalExpansion_TDebye0_StDiv,Atom_Ratio_BulkModule_Nvalence_Max,Atom_Ratio_EA_ThermalExpansion_Max,Atom_Ratio_EA_ThermalExpansion_Median,Atom_Ratio_EA_ThermalExpansion_Min,Atom_Ratio_ENARrev_YoungsModule_StDiv,Atom_Ratio_IP1_TDebye0_Min,Atom_Ratio_IP7_MolarVol_StDiv,Atom_Ratio_dHFus_dHAtom_StDiv,Atom_Ratio_dHVap_YoungsModule_StDiv,CN_Se_Mean,CrystSyst_hexagonal,CrystSyst_trigonal,EState_DistTopo_Cd_ENGhosh2010,EState_DistTopo_Cd_IP3,EState_DistTopo_Si_ENARrev,EState_Dist_Cd_EA,EState_Dist_Cd_ENARrev,EState_Dist_Hf_EA,EState_Dist_Mo_ENARrev,EState_Dist_Ni_ENARrev,EState_Dist_Pd_EA,EState_Dist_Pd_ENARrev,EState_Dist_Ti_ENARrev,EState_Topo_Cd_ENARrev,EState_Topo_Cd_ENGhosh2010,EState_Topo_Cd_Zeff,EState_Topo_Cd_dHAtom,EState_Topo_In_IP3,EState_Topo_Mo_ENGhosh2010,EState_Topo_Mo_Zeff,EState_Topo_Pd_IP1,EState_Topo_Ti_Zeff,Moment_ENGhosh2010_2,Moment_Mass_1,Moment_N_d_2,Moment_N_f_2,Moment_N_f_3,Moment_PoissonRatio_3,Moment_TCritical_1,Moment_TCritical_2,Moment_TCurie_3,Moment_ThermalExpansion_1,Moment_ThermalExpansion_2,Moment_YoungsModule_2,Ratio_ac,Ratio_bc,SG164,c,
Pb1F4,0.01848,0.10664,0.1258,0.10834,0.18762,0.23496,0,0.94545,0.17672,0.18609,0,0.30096,0.16034,0.08997,0.13622,0.08349,0.86094,0.22873,0.77952,0.05801,0.73485,0,0.73282,0.82605,0.82605,-0.32022,0.00577,-0.97239,-0.9625,-0.9625,0.07642,-0.18436,0,-0.58513,0.50283,0,0.14546,0.00922,0.00705,0.00231,0.05988,0.02547,0.38636,0.02444,0.00006,0.00707,0,0,0.06389,0.02357,0.02357,0.02357,0,0.24436,0.08974,0.05189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51824,0.14648,0,0,11.99677,11.99677,0,0,0,0,0,0,0.182,0.182,0,23.99355,
Sn2As2-T1,0.04085,0.05598,0.14153,0.05135,0.20592,0.08967,0,0.42358,0.35973,0.1322,0,0.24863,0.06989,0.11818,0.15963,0.01236,0.48,0.23901,0.75982,0.0092,0.76066,0,0.74929,0.84894,0.84894,-0.47394,0.02494,-0.5772,-0.70011,-0.70014,0.03356,-0.38034,0,-0.5529,0.59535,0.09524,0.16818,0.09367,0.03756,0.04913,0.01889,0.08269,0.38873,0.16531,0.16531,0.00505,0,0,0.08056,0.09458,0.09458,0.09458,0.33259,0.12008,0.04487,0.21002,0.01971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45349,2.04505,2.36141,0,0,12.2153,2.04505,1.18071,0,2.04505,1.18071,1.50642,0.16742,0.16742,0,24.43059,
Ca1I2,0.00125,0.02067,0.15436,0.21231,0.01321,0.19277,0,0.39914,0.29031,0.08216,0,0.20501,0.02526,0.01666,0.25329,0.08322,0.3388,0.21007,0.80616,0.08223,0.77217,0,0.78089,0.78689,0.78689,-0.54802,0.00049,-0.54796,-0.64186,-0.76505,0.31778,-0.21224,0,-0.62547,0.83657,0.05654,0.33403,0.26497,0.00059,0.07511,0.20323,0.00218,0.61488,0.3348,0.0022,0.05051,0,0,0.04722,0.00206,0.00206,0.00206,0,0.09235,0.01386,0.07091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31933,1.27009,1.93586,0,0,11.76492,0,0,0,2.23534,3.87171,3.87171,0.19,0.19,1,23.52985,
U1O2F2,0.00508,0.03258,0.10588,0.1184,0.17335,0.3802,0,0.26269,0.21552,0.11297,0,0.26811,0.05298,0.04008,0.19372,0.05339,0.15333,0.22873,0.6906,0.1774,0.6515,0,0.7841,0.85075,0.85075,-0.37941,0.02902,-0.34205,-0.9625,-1,0.12318,-0.18436,0,-0.42895,0.53351,0,0.14546,0.01787,0.02518,0.00274,0.09285,0.00622,0.30096,0.01322,0.00009,0.07248,0,0,0.18518,0.01346,0.01346,0.01346,0,0.0864,0.29853,0.05927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74119,1.98023,3.65531,3.65531,11.77834,11.77834,2.11039,3.65531,0,2.11039,3.65531,3.65531,0.17918,0.17918,0,23.55667,
Bi1Te1F1,0.04784,0.10501,0.1279,0.22281,0.34909,0.29198,0,0.90271,0.20458,0.18563,0,0.19864,0.08993,0.20789,0.34285,0.06382,0.28257,0.22873,0.80122,0.03631,0.732,0,0.74142,0.70069,0.70069,-0.53622,0.02214,-0.94963,-0.67765,-0.9625,0.04899,-0.27591,0,-0.61775,0.57079,0.02199,0.14546,0.13071,0.06956,0.09588,0.07021,0.06784,0.38636,0.01477,0.01171,0.00163,0,0,0.06019,0.13159,0.13159,0.13159,0.01167,0.20505,0.10654,0.21486,0.02576,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88693,1.32716,2.98774,3.58529,1.49698,1.49698,0,0,0,2.06997,3.58529,2.9001,0.18218,0.18218,0,22.72387,
U2Te6-T1,0.00508,0,0.10588,0.09717,0.12836,0.15661,0,0.40597,0.28899,0.01647,0,0.19864,0.05298,0.04008,0.19372,0.00791,0.15333,0.22873,0.6906,0.13789,0.6515,0,0.7841,0.85075,0.85075,-0.53622,0.04912,-0.55631,-0.66476,-0.67125,0.16202,-0.1536,0,-0.42895,0.53351,0.05725,0.16221,0.12901,0.1026,0.09703,0.01135,0.00622,0.30096,0.02523,0.01171,0.00163,0,0,0.18518,0.01346,0.01346,0.01346,0.05371,0.0864,0.00928,0.16642,0.01164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08764,-0.92633,-2.08764,-2.08764,-13.33744,-13.33744,-0.30189,-2.08764,0,-0.30189,-2.08764,-2.08764,0.15491,0.22544,0,26.95338,
Hf2N2Cl2,-0.07107,0.11866,0.14467,0.21398,0.1475,0.27437,0,0.37993,0.24741,0.03457,0,0.28556,0.14866,0.12591,0.4911,0.03814,0.13542,0.23901,0.71765,0.14285,0.70074,0,0.74582,0.78596,0.78596,-0.48326,0.0496,-0.52369,-0.75712,-0.79126,0.10162,-1,0,-0.47218,0.51151,0,0.17455,0.14197,0.03116,0.0346,0.08042,-0.65271,0.30413,0.0197,0.00007,0.02265,0,0,0.15278,0.10466,0.10466,0.10466,0,0.09369,0.3984,0.10199,0,0,0,1,0,0,0,0,0,0.42131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07028,1.03346,1.54908,1.54908,13.11427,13.11427,0.89436,1.54908,0,0.89436,1.54908,1.54908,0.1364,0.1364,1,26.22854,
P2Pd2S2,0.02854,0.04945,0.1258,0.0655,0.23699,0.1772,0,0.41613,0.44179,0.05553,0,0.30109,0.04455,0.15738,0.15639,0.0564,0.21796,0.28792,0.67778,0.14558,0.70712,0,0.78597,0.80689,0.80689,-0.61928,0.06642,-0.56848,-0.814,-0.83138,0.0717,-0.70574,0,-0.42103,0.43844,0,0.11117,0.05583,0.08235,0.025,0.07616,0.03968,0.36614,0.03966,0.00077,0.11,0,0,0.1,0.08914,0.08914,0.08914,0,0.10642,0.0524,0.11654,0,0,0,0,0,0,0,0,0,0,0,0,0.2659,-2.0267,0,0,0,0,0,0,0,0,4.164,0,2.81678,10.93167,2.81678,0,0,3.37085,0,0,0,10.89035,2.81678,2.81678,0.26845,0.27202,0,20.9852,
Zr1Mo2O8,0.02168,0.08062,0.14016,0.13695,0.11585,0.24166,0.00762,0.26919,0.21552,0.08694,0.04045,0.2603,0.02158,0.13033,0.4213,0.02035,0.08037,0.22873,0.66663,0.20137,0.69817,0.1139,0.71181,0.78373,0.7698,-0.71249,0.03507,-0.3541,-1,-1,0.01513,-0.13508,0.11106,-0.41848,0.48784,0.01412,0.12182,0.12436,0.29766,0.06895,0.05227,0.03343,0.30372,0.05083,0.00009,0.01949,0,0.00456,0.21296,0.29131,0.29131,0.14017,0.00264,0.058,0.2815,0.13201,0.07968,0,0,1,0,0,0,0,0,0,-32.51232,0,0,0,0,0,0,0,0,0,-13.85937,-0.06667,0,0,2.48394,2.48222,2.15099,0,0,13.53826,2.60793,1.93589,0,3.15582,1.61957,2.33942,0.22015,0.22015,1,27.07652,
Tm2Br2O2-T1,0.00081,0.15031,0.13943,0.09285,0.0451,0.28033,0,0.37705,0.24612,0.14721,0,0,0.48319,0.04189,0.31009,0.06966,0.11833,0.22873,0.75805,0.10995,0.70811,0,0.80466,0.75799,0.75799,-0.3577,0.05746,-0.51993,-0.73781,-1,0.28093,-0.23354,0,-0.5349,0,0,0.22546,0.16023,0.00143,0.06133,0.12673,0.0013,0.37383,0.02087,0.00045,0.01588,0,0,0.08241,0.00225,0.00225,0.00225,0,0.10697,0.35366,0.1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0772,0.93987,3.0772,3.0772,13.08647,13.08647,0,0,13.08647,0.93987,3.0772,3.0772,0.14364,0.15676,0,26.17294,
