Sn2S2,0.05645,0.03347,0.14153,0.02758,0.02838,0.14606,0,0.42358,0.39365,0.07386,0,0.24863,0.06989,0.11818,0.15963,0.03965,0.48,0.23901,0.75982,0.04706,0.76703,0,0.74929,0.84894,0.84894,-0.47394,0.00543,-0.5772,-0.76573,-0.83138,0.03013,-0.1151,0,-0.57006,0.59535,0,0.20169,0.04808,0.06732,0.01419,0.04372,0.08775,0.60124,0.10383,0.10383,0.04205,0,0,0.08056,0.09458,0.09458,0.09458,0,0.12767,0.11327,0.05202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.47209,-1.01378,-11.47209,0,0,-1.54406,-1.01378,-11.47209,0,-1.01378,-11.47209,-11.47209,0.17674,0.18594,0,22.94418,
In4Te4I4,0.01949,0.02565,0.13639,0.1767,0.2583,0.19706,0,0.43519,0.29031,0.1134,0,0.19864,0.08993,0.07521,0.10585,0.03398,0,0.25,0.71672,0.17168,0.73546,0,0.69182,0.86177,0.86177,-0.53622,0.04648,-0.59051,-0.66476,-0.7485,0.13301,-0.21224,0,-0.55746,0.57079,0.10569,0.20467,0.18174,0.05386,0.09378,0.1512,0.02925,0.42089,0.08685,0.01171,0.00163,0,0,0.06019,0.02238,0.02238,0.02238,0.02989,0.17873,0.03036,0.19855,0.24874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4978,0,0,0,0,3.90624,12.35255,3.90624,0,0,0,12.35255,3.90624,0,12.35255,3.90624,3.90624,0.31149,0.33544,0,25.08081,
Re4Se8,0.00076,0.05083,0.15138,0.01118,0.03576,0.10561,0.43488,0.38282,0.35691,0.02832,0.11465,0.15527,0.07006,0.08031,0.09567,0.01333,0.08485,0.28792,0.67336,0.13278,0.68893,0.0214,0.78802,0.81183,0.70004,-0.65627,0.06742,-0.52741,-0.70633,-0.70633,0.2864,-0.14763,0.08193,-0.40983,0.39289,0.07053,0.11507,0.12569,0.02446,0.03325,0.05841,0.00087,0.25978,0.02814,0.00163,0.00007,0.13938,0.03703,0.29365,0.10218,0.10218,0.00453,0.31303,0.06514,0.00119,0.05413,0.02633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22919,1.6349,1.22919,1.22919,11.8979,11.8979,1.6349,1.22919,0,1.6349,1.22919,1.22919,0.27711,0.28235,0,24.05107,
V2O2F2,0.0267,0.03258,0.18194,0.07679,0.10497,0.2248,0,0.26269,0.21552,0.06644,0,0.29845,0.02444,0.11054,0.21354,0.01902,0.15146,0.28792,0.63964,0.22836,0.72045,0,0.78173,0.79825,0.79825,-0.74716,0.06978,-0.34205,-0.9625,-1,0.06439,-0.38983,0,-0.39222,0.5178,0,0.10805,0.08458,0.08151,0.03639,0.05656,0.05541,0.28425,0.0163,0.00009,0.04962,0,0,0.17778,0.11717,0.11717,0.11717,0,0.05849,0.24209,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8917,1.5503,1.8917,0,0,12.20801,1.5503,1.8917,0,1.5503,1.8917,1.8917,0.1273,0.15496,0,24.41603,
U2Br8,0.00508,0,0.10588,0.01017,0.12695,0.34643,0,0.37705,0.50347,0.03363,0,0.26811,0.05298,0.04008,0.19372,0.01452,0.15333,0.22873,0.6906,0.17555,0.6515,0,0.7841,0.85075,0.85075,-0.37941,0.06611,-0.51993,-0.67122,-0.67125,0.16432,-0.20595,0,-0.42895,0.53351,0,0.16221,0.11089,0.02518,0.04905,0.02417,0.00622,0.30096,0.01352,0.00045,0.07248,0,0,0.18518,0.01346,0.01346,0.01346,0,0.0864,0.01558,0.06292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24026,0,0,-12.57491,-12.57491,6.24026,0,0,6.24026,0,0,0.2804,0.2804,0,25.19174,
Ge1Bi2Te4,0.04784,0.01769,0.1279,0.15241,0.3353,0.08933,0.0103,0.90271,0.28899,0.04535,0,0.19864,0.03533,0.20789,0.34285,0.04917,0.28257,0.22873,0.74309,0.08539,0.732,0,0.74142,0.73416,0.70069,-0.60777,0.0342,-0.94963,-0.66476,-0.74686,0.05371,-0.27591,0,-0.56282,0.57079,0.02398,0.17701,0.06699,0.1026,0.07772,0.07115,0.06784,0.42089,0.03828,0.01171,0.00163,0.00276,0.00761,0.10528,0.38443,0.13159,0.13159,0.011,0.07326,0.03698,0.09811,0.02429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84815,1.45106,2.70463,1.89324,15.52969,15.52969,0,0,0,1.29301,2.23957,2.58315,0.14077,0.14077,1,31.05937,
Re4S8,0.00076,0.06004,0.15138,0.01882,0.00713,0.02656,0,0.39608,0.44179,0.07868,0,0.3019,0.10922,0.20968,0.30808,0.04381,0.08485,0.28792,0.67336,0.13353,0.68893,0,0.79156,0.81183,0.81183,-0.65627,0.06067,-0.54418,-0.83138,-0.83138,0.28239,-0.14763,0,-0.40983,0.39289,0,0.11507,0.09887,0.00841,0.00989,0.11638,0.00087,0.25978,0.02746,0.00061,0.28061,0,0,0.29365,0.00453,0.00453,0.00453,0,0.06514,0.08378,0.10494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3271,6.28695,2.8551,2.8551,11.84787,11.84787,6.39183,2.8551,0,6.39183,2.8551,2.8551,0.27108,0.27518,0,23.69575,
Nb2C1S2,0.04538,0.03937,0.14257,0.10857,0.2356,0.23044,0.0028,0.39608,0.42021,0.04969,0,0.27052,0.00598,0.1272,0.31984,0.01512,0.1393,0.26176,0.64908,0.1578,0.7026,0,0.7849,0.82516,0.82305,-0.68361,0.08958,-0.54418,-0.77659,-0.83138,0.04305,-0.40596,0,-0.4372,0.46665,0.05383,0.0687,0.17068,0.11365,0.36789,0.06432,0.07444,0.29012,0.07315,0.11161,0.07159,0.07062,0.16702,0.18889,0.33262,0.22915,0.22915,0,0.01747,0.07196,0.35741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80167,0.86263,1.42862,0,0,12.84606,0.82481,1.42862,0,1.09468,1.89604,1.42862,0.12841,0.12841,1,25.69211,
Ti1S2-T1,0.00401,0.06284,0.17871,0.05984,0.07085,0.07164,0,0.39608,0.44179,0.08986,0,0.28145,0.0209,0.08638,0.26673,0.00494,0.15971,0.26176,0.68062,0.12626,0.71569,0,0.75574,0.79225,0.79225,-0.72938,0.04176,-0.54418,-0.83138,-0.83138,0.18948,-0.1116,0,-0.43882,0.59271,0,0.13818,0.08192,0.01109,0.00676,0.02754,0.00777,0.29121,0.01523,0.00061,0.03208,0,0,0.15278,0.01719,0.01719,0.01719,0,0.05624,0.04659,0.09678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.17398,0,0,0,0,0,0,0,0,0.85,1.79798,1.21623,2.95164,0,0,11.42826,1.70413,2.95164,0,1.70413,2.95164,2.95164,0.14912,0.14912,1,22.85652,
Si6H2,0.03828,0.0826,0.31834,0,0,0,0,0.44173,0.47498,0,0,0.32766,0.02659,1,1,0.00979,0,0.27438,0.72865,0.07261,0.85232,0,0.72469,0.66776,0.66776,-0.86021,0.01659,-0.59786,-0.8699,-0.8699,0,-0.12008,0,-0.55253,0.47779,0.22765,0.14831,0.11096,0.07907,0.20331,0.0729,0.23922,0.18939,0.25902,0.34523,0.08902,0,0,0.13889,1,1,1,0,0.04372,0,0.28534,0,0,0,1,0,0,7.18983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67657,0.96797,0,0,0,0,0,0,0,0.96797,1.67657,1.67657,0.12859,0.12859,1,30.11045,
